Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,Website,Junior Division Admission,Senior Division Admission,Masters Division Admission,League Cup
CHALLENGE AGOSTO,24-08-003155,TCG: Standard,"August 26, 2024",Trading Card Game,(2025) TCG League Challenge August,Liga The Tower (August 2024),Complete,"September 01, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,150,NO FALTES !!!!!,48,47,0,0,48,League Challenge,,,,,,
Prelanzamiento de Escarlata & Purpura Corona Astral,24-08-010363,TCG: Limited,"August 31, 2024",Trading Card Game,(2025) Stellar Crown Prerelease,,Complete,"September 02, 2024",MASTERFORCE TCG,790 AV. UNIVERSIDAD,LOCAL 11 METRO PLAZA ZAPATA,MÉXICO D.F.,CDMX,03310,Mexico,Map,550,"¡Prepárate para el Pre-Lanzamiento de Corona Astral en Masterforce! 
¡Entrenadores Pokémon, la espera ha terminado! La nueva expansión Escarlata y Púrpura - Corona Astral está a punto de llegar, y en Masterforce estamos emocionados de invitarte a nuestro evento de Pre-Lanzamiento el 31 de agosto.
 31 de agosto 12:00 PM comienzan las inscripciones Masterforce TCG",31,29,0,0,31,Pre Release,MasterForce TCG,https://masterforcemx.com/,,,,
League Challenge Septiembre MdM,24-09-006294,TCG: Standard,"September 05, 2024",Trading Card Game,(2025) TCG League Challenge September,Mercado De Magos Pokemon League (September 2024),Complete,"September 06, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,Nuestro League Challenge de Septiembre,33,33,1,0,32,League Challenge,,,0,100,100,
TCG League Challenge ZombieLamb Septiembre 2024,24-09-008133,TCG: Standard,"September 18, 2024",Trading Card Game,(2025) TCG League Challenge September,ZombieLamb League (September 2024),Complete,"September 19, 2024",ZOMBIELAMB,,,,CDMX,06600,Mexico,Map,200,,36,36,1,0,35,League Challenge,,https://www.facebook.com/coregametcgstore/,,,,
Evolution Coapa League Challenge TCG Septiembre 2024,24-09-011018,TCG: Standard,"September 21, 2024",Trading Card Game,(2025) TCG League Challenge September,Liga Evolution Coapa (September 2024),Complete,"September 21, 2024",EVOLUTION COAPA,921 CALZ. DEL HUESO,,MÉXICO D.F.,CDMX,14330,Mexico,Map,$200,Te invitamos a participar en el League Challenge del mes de Septiembre. El registro comenzara a las 1:00 pm y terminara a las 2:15 pm (NO SE ACEPTAN REGISTROS DESPUÉS DE LA HORA INDICADA DE CIERRE ) Es necesario presentar registro de mazo o Deck list ( en tienda se te otorgara una hoja para llenar) El costo de entrada sera de $199. Mas detalles en nuestras redes sociales,8,8,0,0,8,League Challenge,,,,,,
TCG League Challenge Kodama Septiembre 2024,24-09-012472,TCG: Standard,"September 27, 2024",Trading Card Game,(2025) TCG League Challenge September,Kodama League (September 2024),Complete,"September 28, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,150,,52,51,2,1,49,League Challenge,,http://www.kodamatcg.com,,,,
TCG League Challenge ZombieLamb Octubre 2024,24-10-002163,TCG: Standard,"October 09, 2024",Trading Card Game,(2025) TCG League Challenge October,ZombieLamb League (October 2024),Complete,"October 19, 2024",ZOMBIELAMB,,,,CDMX,06600,Mexico,Map,200,,39,37,1,1,37,League Challenge,,https://www.facebook.com/zombielambgaming,,,,
Torneo Challenge Octubre 21 2024,24-10-009270,TCG: Standard,"October 21, 2024",Trading Card Game,(2025) TCG League Challenge October,Liga The Tower (October 2024),Complete,"October 22, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,200,Vengan a Nuestro challenge y compite contra los mejores entrenadores pokemon,24,23,0,2,22,League Challenge,,,,,,
"Kodama Prerelease ""Chispas Fulgurantes""",24-10-007961,TCG: Limited,"October 26, 2024",Trading Card Game,(2025) Surging Sparks Prerelease,,Complete,"October 26, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,550,,62,60,1,1,60,Pre Release,Kodama League,http://www.kodamatcg.com,,,,
League Cup Octubre MdM,24-10-000967,TCG: Standard,"November 02, 2024",Trading Card Game,(2025) TCG League Cup Oct-Dec,,Complete,"November 02, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,Un league Cup Mas en el Mercado de Magos,36,33,2,0,34,League Cup,,,0,100,300,Mercado De Magos Pokemon League
