Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Website,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,League Cup,Junior Division Admission,Senior Division Admission,Masters Division Admission
TCG League Challenge Kodama Mayo 2025,25-05-004707,TCG: Standard,"May 09, 2025",Trading Card Game,(2025) TCG League Challenge May,Kodama League (May 2025),Complete,"May 10, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,250,,58,58,2,2,54,League Challenge,,,,,
"Kodama - Pokemon - Octubre 25, 2024",24-10-006740,TCG: Standard,"October 25, 2024",Trading Card Game,None,,Complete,"October 26, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,41,38,1,0,40,League,,,,,
Torneo Challenge Octubre 21 2024,24-10-009270,TCG: Standard,"October 21, 2024",Trading Card Game,(2025) TCG League Challenge October,Liga The Tower (October 2024),Complete,"October 22, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,200,Vengan a Nuestro challenge y compite contra los mejores entrenadores pokemon,24,23,0,2,22,League Challenge,,,,,
Torneo Challenge CDMX THE TOWER 17 de marzo 2025,25-03-015957,TCG: Standard,"March 17, 2025",Trading Card Game,(2025) TCG League Challenge March,Liga The Tower (March 2025),Complete,"March 18, 2025",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,200,"Los invitamos a nuestro challenge, con los mejores premios y sorteos de la CDMX, nos vemos para muchas aventuras y diversión en su cas THE TOWER TCG STORE",30,30,0,2,28,League Challenge,,,,,
The Nest - Liga Pokémon - Jueves 15 de Mayo 2025,25-05-019006,TCG: Standard,"May 15, 2025",Trading Card Game,None,,Complete,"May 17, 2025",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,https://www.facebook.com/thenestgames,150,,11,11,0,0,11,League,,,,,
Torneo de liga CDMX THE TOWER 14-04-25,25-04-011700,TCG: Standard,"April 14, 2025",Trading Card Game,None,,Complete,"April 16, 2025",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,100,,46,45,1,1,44,League,,,,,
"Kodama - Pokemon - Octubre 4, 2024",24-10-006736,TCG: Standard,"October 04, 2024",Trading Card Game,None,,Complete,"October 04, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,36,34,0,2,34,League,,,,,
"Kodama Prerelease ""Chispas Fulgurantes""",24-10-007961,TCG: Limited,"October 26, 2024",Trading Card Game,(2025) Surging Sparks Prerelease,,Complete,"October 26, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,550,,62,60,1,1,60,Pre Release,Kodama League,,,,
Mérida Regional Championships | TCG Masters,24-09-008396,TCG: Standard,"February 08, 2025",Trading Card Game,(2025) 2025 TCG Regional Championships,,Complete,"February 10, 2025",CENTRO DE CONVENCIONES YUCATÁN SIGLO XXI,,,,YUC.,97118,Mexico,Map,,,"Pokémon Trainer! We invite you to join us at the Pokémon Trading Card Game Regional Championships in Mérida, Yucatán, Mexico. This is the perfect place to test your skills, meet other passionate players, and enjoy a unique experience. We would love to see you there and share this exciting Pokémon adventure with you!",1151,1136,0,0,1151,Regional Championships,,,,,
"Kodama - Pokemon - Enero 10, 2025",25-01-006877,TCG: Standard,"January 10, 2025",Trading Card Game,None,,Complete,"January 14, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,63,60,1,2,60,League,,,,,
"Kodama - Pokemon - Septiembre 20, 2024",24-09-014337,TCG: Standard,"September 20, 2024",Trading Card Game,None,,Complete,"September 21, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,41,38,1,1,39,League,,,,,
LIGA POKEMON GAMESMART 6 NOVIEMBRE 2024,24-11-007723,TCG: Standard,"November 06, 2024",Trading Card Game,None,,Complete,"November 07, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,27,27,0,0,27,League,,,,,
LIGA POKEMON GAMESMART 05 MARZO 2025,25-03-010969,TCG: Standard,"March 05, 2025",Trading Card Game,None,,Complete,"March 06, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,30,30,0,0,30,League,,,,,
Pokemartes,24-09-009871,TCG: Standard,"September 03, 2024",Trading Card Game,None,,Complete,"September 04, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,100,pokemartes,14,14,0,0,14,League,,,,,
"Kodama - Pokemon - Enero 03, 2025",25-01-004898,TCG: Standard,"January 03, 2025",Trading Card Game,None,,Complete,"January 03, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,,,43,43,1,1,41,League,,,,,
"Kodama - Pokemon - Diciembre 20, 2023",24-12-010464,TCG: Standard,"December 20, 2024",Trading Card Game,None,,Complete,"December 20, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,,,31,30,0,2,29,League,,,,,
LIGA POKEMON GAMESMART 04 DICIEMBRE 2024,24-12-006898,TCG: Standard,"December 04, 2024",Trading Card Game,None,,Complete,"December 05, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,30,28,0,0,30,League,,,,,
TCG League Challenge Kodama Noviembre 2024,24-11-005197,TCG: Standard,"November 22, 2024",Trading Card Game,(2025) TCG League Challenge November,Kodama League (November 2024),Complete,"November 22, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,150,,40,40,1,1,38,League Challenge,,,,,
TCG League Cup Kodama 10 de Mayo 2025,25-05-001216,TCG: Standard,"May 10, 2025",Trading Card Game,(2025) TCG League Cup April-May,,Complete,"May 10, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,300,,18,18,0,1,17,League Cup,,Kodama League,,,
BATTLE STADIUM TCG 10 DE FEBRERO DE 2025,25-02-005610,TCG: Standard,"February 10, 2025",Trading Card Game,None,,Complete,"February 11, 2025",BATTLE STADIUM TCG,,,,YUC.,97000,Mexico,Map,,$100,,28,28,0,1,27,League,,,,,
Torneo CUP CDMX THE TOWER Noviembre 18 2024,24-11-003700,TCG: Standard,"November 18, 2024",Trading Card Game,(2025) TCG League Cup Oct-Dec,,Complete,"November 24, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,250,"Los esperamos en nuestro torneo CUP, ven a competir contra los mejores entrenadores pokemon y gana grandes premios en su casa THE TOWER TCG STORE",46,42,0,1,45,League Cup,,Liga The Tower,,,
TORNEO POKEMON GAMESMART 7 MAYO 2025,25-05-012457,TCG: Standard,"May 07, 2025",Trading Card Game,None,,Complete,"May 07, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,32,31,0,0,32,League,,,,,
"Kodama - Pokemon - Abril 4, 2025",25-04-000459,TCG: Standard,"April 04, 2025",Trading Card Game,None,,Complete,"April 04, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,36,36,0,0,36,League,,,,,
